team_1,team_2,winner,loser,resolution
Switzerland,Japan,Japan,Switzerland,Regular Time
France,Mexico,France,Mexico,Regular Time
Belgium,Portugal,Belgium,Portugal,Regular Time
Argentina,Colombia,Colombia,Argentina,Regular Time
