team_1,team_2,winner,loser,resolution
Switzerland,Ecuador,Switzerland,Ecuador,Regular Time
Japan,Brazil,Japan,Brazil,Regular Time
France,Germany,France,Germany,Regular Time
Mexico,Algeria,Mexico,Algeria,Extra Time
United States,Belgium,Belgium,United States,Regular Time
Portugal,Spain,Portugal,Spain,Regular Time
Canada,Argentina,Argentina,Canada,Regular Time
Colombia,Turkey,Colombia,Turkey,Regular Time
