year,month,day,team_1_code,team_2_code,team_1_goals,team_2_goals,tournament_code,host_code,team_1_rating_change,team_1_rating,team_2_rating,team_1_rank_change,team_2_rank_change,team_1_rank,team_2_rank,match_date,extracted_at,source
2026,3,31,GQ,MG,1,1,F,TR,0,1390,1382,0,0,105,106,2026-03-31,2026-05-25T21:23:50,https://www.eloratings.net/latest.tsv
2026,3,31,HT,IS,1,1,FT,CA,2,1532,1571,+2,0,77,69,2026-03-31,2026-05-25T21:23:50,https://www.eloratings.net/latest.tsv
2026,3,31,HN,PE,2,2,F,ES,4,1571,1695,+2,0,69,47,2026-03-31,2026-05-25T21:23:50,https://www.eloratings.net/latest.tsv
2026,3,31,HU,GR,0,0,F,,-2,1703,1752,−1,+1,45,32,2026-03-31,2026-05-25T21:23:50,https://www.eloratings.net/latest.tsv
2026,3,31,IE,NM,0,0,F,,-5,1691,1589,−1,−1,49,67,2026-03-31,2026-05-25T21:23:50,https://www.eloratings.net/latest.tsv
2026,3,31,CI,SQ,1,0,F,EN,13,1676,1767,+1,−2,52,29,2026-03-31,2026-05-25T21:23:50,https://www.eloratings.net/latest.tsv
2026,3,31,JO,NG,2,2,NSM,TR,3,1690,1752,0,0,50,32,2026-03-31,2026-05-25T21:23:50,https://www.eloratings.net/latest.tsv
2026,3,31,LR,LY,2,2,F,MA,4,1296,1420,+2,−5,137,99,2026-03-31,2026-05-25T21:23:50,https://www.eloratings.net/latest.tsv
2026,3,31,ME,SI,2,3,F,,-6,1439,1694,0,+1,89,48,2026-03-31,2026-05-25T21:23:50,https://www.eloratings.net/latest.tsv
2026,3,31,MA,PY,2,1,F,FR,11,1821,1833,0,0,24,22,2026-03-31,2026-05-25T21:23:50,https://www.eloratings.net/latest.tsv
2026,3,31,NL,EC,1,1,F,,-4,1961,1933,0,+1,8,9,2026-03-31,2026-05-25T21:23:50,https://www.eloratings.net/latest.tsv
